LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
,,,,Life,,,,,,,,Project Rachel,,,,
,,,191.0,Nur ture Pregnancy,Y,121683767,Poverty,CPC,Christian,Medicine Hat,AB,Medicine Hat,http://nurturepregnancycentre.ca,"Educational classes, but not for schools.",,
,,,,Centre,,,,,,,,Pregnancy Support,www.facebook.com/Nurturepregnancycen,"(Parenting, Relationships, Prenatal and",,
,,,,,,,,,,,,Society / Pregnancy,tre,"Postnatal Care, Mental Health, Sewing",,
,,,,,,,,,,,,& Family Support,https://instagram.com/nurturepregnancyc,and Cooking),,
,,,,,,,,,,,,,entre,,,
,,,,,,,,,,,,Centre,,http://nurturepregnancycentre.ca/educ,,
,,,,,,,,,,,,,,ation,,
,,,192.0,Oka nagan Valley,Y,863797171,Community,CPC,PCC / Heartbeat,Kelowna,BC,,www.ovpcc.com,“True to You” education program,,
,,,,Pregnancy Care Centre,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/OVPCC/,"offered to schools (gr 7 - 12) , youth",,
,,,,,,,,,Evangelical,,,,www.instagram.com/okanaganpregnancyc,"groups, organizations and parents:",,
,,,,,,,,,,,,,are/?hl=de,www.ovpcc.com/education,,
,,,,,,,,,,,,,,www.truetoyouokanagan.com,,
,,,,,,,,,,,,,,Testimonials:,,
,,,,,,,,,,,,,,https://www.truetoyouokanagan.com/w,,
,,,,,,,,,,,,,,hat-people-are-saying-about-usDoes,,
,,,,,,,,,,,,,,not specify where they come from,,
,,,,,,,,,,,,,,unfortunately,,
,,,193.0,On lineCare.ca,Y,136223971,Poverty,CPC,,(Online),NAT,Run by Christian,www.onlinecare.ca,,,
,,,,,,,,,,,,Advocacy Society of,,,,
,,,,,,,,,,,,Greater Vancouver,,,,
,,,194.0,Open Door Women's,Y,107461485,Poverty,CPC,,Halifax,NS,Open Door Centre /,www.opendoorcentre.com,2 educational programs; one on,,
,,,,Care Centre,,,,,,,,Halifax Metro Crisis,www.facebook.com/opendoorwomencent,exploited youth (Hey); one on sex ed,,
,,,,,,,,,,,,Pregnancy Centre,re,"(Up). Available for ""classrooms"". No",,
,,,,,,,,,,,,,https://opendoorcentre.com/,schools mentioned.,,
,,,,,,,,,,,,,,Hey Presentation:,,
,,,,,,,,,,,,,,https://opendoorcentre.com/sexual-,,
,,,,,,,,,,,,,,exploitation/hey-presentations,,
,,,,,,,,,,,,,,Up Presentation:,,
,,,,,,,,,,,,,,www.opendoorcentre.com/pregnancy/e,,
,,,,,,,,,,,,,,ducational-presentations/hlc-,,
,,,,,,,,,,,,,,presentations,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,195.0,Options grossesse,Y,813676954.0,Community,CPC,Heartbeat Int’l,Québec City,QC,Centre Conseils-,www.optionsgrossesse.com/,www.optionsgrossesse.com/nos-,,
,,,,,,,"Org.,",,,,,Grossesse,www.facebook.com/pages/Options-,services,,
,,,,,,,Resource,,,,,,Grossesse-Centre-conseils-grossesse-,“We provide information on topics such,,
,,,,,,,,,,,,,de-Qu%C3%A9bec/160113584756,"as pregnancy, abortion, fetal",,
,,,,,,,,,,,,,,"development, child rearing, adoption,",,
,,,,,,,,,,,,,,and sexually transmitted infections.” No,,
,,,,,,,,,,,,,,mention of school education.,,
,,,196.0,Options Pregnancy,Y,129777298.0,Poverty,CPC,PCC / Heartbeat,Regina,SK,,www.reginapregnancy.com,,,
,,,,"Center, Resources and",,,,,Int’l / Care Net /,,,,www.facebook.com/OptionsPregnancyCen,,,
,,,,Lifestyle Coaching Inc.,,,,,Evangelical,,,,ter/  www.instagram.com/options_pregnancy_c,,,
,,,,,,,,,,,,,enter_/?hl=en,,,
,,,197.0,Ori llia Pregnancy,Y,891126286.0,Community,CPC,PCC / Heartbeat,Orillia,ON,Orillia Pregnancy,www.prcorillia.ca,,,
,,,,Resource Centre,,,"Org., Health",,Int’l / Care Net /,,,Resource Center,www.youtube.com/channel/UCLDvT5-,,,
,,,,,,,,,Evangelical,,,,PJiNtY92k0A4QAcg/,,,
,,,198.0,Ott awa Youth for Life,N,,,Advocacy,,Ottawa,ON,,http://oyl.awardspace.com/,,,
,,,199.0,Outreach for Life,Y,119074623.0,Poverty,CPC,PCC / Care Net /,Edmonton,AB,Edmonton,www.pregnancycarecentre.ca,“Wait! Let’s Talk Sex”,,
,,,,Association of Edmonton,,,,,Evangelical,,,Pregnancy Care,www.facebook.com/pccedmonton,www.pregnancycarecentre.ca/healthy-,,
,,,,,,,,,,,,Centre / Pregnancy,,teen-relationships/,,
,,,,,,,,,,,,Care Centre /,,,,
,,,,,,,,,,,,Abortion Recovery,,,,
,,,,,,,,,,,,Centre,,,,
,,,200.0,Oxf ord Against Abortion,N,,,Advocacy,CCBR (trained by),Oxford county,ON,,CCBR: www.endthekilling.ca,,,
,,,,,,,,,,,,,www.facebook.com/Oxford-Against-,,,
,,,,,,,,,,,,,Abortion-251438635198432/,,,
,,,201.0,Oxf ord County Right to,Y,131621906.0,Poverty,Advocacy,,Woodstock,ON,,https://oxfordcountyrighttolife.com/,,,
,,,,Life,,,,,,,,,,,,
,,,202.0,Pea ce for Life Society,N,,,Advocacy,LifeCanada,Dawson Creek,BC,,https://lifecanada.org/peaceforlife/,Nothing specifically on sex-ed. Uses Life,,
,,,,,,,,,,,,,www.facebook.com/groups/peaceforlifeso,Canada Kids. (See LifeCanada National,,
,,,,,,,,,,,,,ciety (private),Assoc),,
,,,203.0,Pea ce Pregnancy Support,Y,841117997.0,Community,CPC,PCC / Heartbeat,Dawson Creek,BC,,www.peacepregnancysupport.com/,,,
,,,,Society,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/Peace-Pregnancy-,,,
,,,,,,,,,Evangelical,,,,Support-Centre-1420191944900625/,,,
,,,204.0,PEI Life Association Inc.,Y,851861443.0,Poverty,Advocacy,,Charlottetown,PE,PEI Right to Life,www.peilife.org/,,,
,,,,,,,,,,,,Association Inc.,www.facebook.com/PEIRTL/,,,
,,,205.0,Pem bina Pro-life,N,,,Advocacy,Supports,Barrhead /,AB,,www.facebook.com/pembinaprolife/,,,
,,,,,,,,,Wilberforce,Pembina,,,,,,
,,,206.0,Pem bina Valley,Y,107832057.0,Poverty,CPC,PCC / Heartbeat,Altona,MB,,www.pvpcc.com,,,
,,,,Pregnancy Care Centre,,,,,Int’l / Evangelical,,,,www.facebook.com/pvpregnancycarecentr,,,
,,,,,,,,,,,,,e,,,
,,,,,,,,,,,,,www.instagram.com/pvpregnancycare/?hl,,,
,,,,,,,,,,,,,=en,,,
,,,207.0,Pem bina Valley,Y,107832057.0,Poverty,CPC,PCC / Heartbeat,Winkler,MB,,www.pvpcc.com,,,
,,,,Pregnancy Care Centre,,,,,Int’l / Evangelical,,,,www.facebook.com/pvpregnancycarecentr,,,
,,,,,,,,,,,,,e,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,www.instagram.com/pvpregnancycare/?hl,,,
,,,,,,,,,,,,,=en,,,
,,,208.0,Pem bina Valley,Y,107832057.0,Poverty,CPC,PCC / Heartbeat,Morden,MB,,www.pvpcc.com,,,
,,,,Pregnancy Care Centre,,,,,Int’l / Evangelical,,,,www.facebook.com/pvpregnancycarecentr,,,
,,,,,,,,,,,,,e,,,
,,,,Inc.,,,,,,,,,www.instagram.com/pvpregnancycare/?hl,,,
,,,,,,,,,,,,,=en,,,
,,,209.0,Pet erborough Pregnancy,Y,129800116.0,Community,CPC,PCC / Heartbeat,Peterborough,ON,,www.mypregnancycentre.org,Pause and Think (in schools).,,
,,,,Support Services,,,"Org.,",,Int’l / Care Net /,,,,www.facebook.com/PeterboroughPregnan,www.mypregnancycentre.org/relationsh,,
,,,,,,,Resource,,Evangelical,,,,cy,ips,,
,,,,,,,,,,,,,Twitter: @Ptbo_Canada @downtownPtbo,Community/school education:,,
,,,,,,,,,,,,,,"awareness about sexual health, healthy",,
,,,,,,,,,,,,,,"relationships, learn the risks of sexual",,
,,,,,,,,,,,,,,"activity, how to develop personal",,
,,,,,,,,,,,,,,"boundaries, how to identify healthy",,
,,,,,,,,,,,,,,relationships,,
,,,210.0,Pet erborough Pro Life,N,,,Advocacy,Alliance for Life,Peterborough,ON,,http://peterboroughprolife.com/,,,
,,,,Association,,,,,Ont.,,,,,,,
,,,211.0,Pha rmacists for Life,N,,,Advocacy,,Calgary? (U.S.,AB,,www.pfli.org/,,,
,,,,International – Canada,,,,,,based org),,,,,,
,,,212.0,Pos t-Abortion,Y,136223971.0,Poverty,CPC,PCC / Heartbeat,Burnaby,BC,Run by Christian,www.pacscanada.org/,"None, but their two CPCs offer the",,
,,,,Community Services,,,,,Int’l / Evangelical,,,Advocacy Society of,,SHARE program.,,
,,,,,,,,,,,,Greater Vancouver,,,,
,,,213.0,Pra irie Pregnancy,Y,703593327.0,Community,CPC,PCC / Heartbeat,Portage La,MB,,www.prairiepregnancy.com,,,
,,,,Support Centre,,,"Org., Health",,Int’l / Care Net /,Prairie,,,www.facebook.com/prairiepregnancy,,,
,,,,,,,,,Evangelical,,,,,,,
,,,214.0,Pre gnancy & Family Care,Y,773623509.0,Poverty,CPC,PCC / Heartbeat,Trenton,ON,(new tax # as of Jan,www.pfcqw.ca,4U Community Education Program for,,
,,,,of Quinte West,,,,,Int’l / Care Net /,,,2023),www.facebook.com/Pregnancy-and-,schools (same topics as Take Charge),,
,,,,,,,,,Evangelical,,,Satellite of Belleville,Family-Care-of-Quinte-West-,http://bellevillepregnancyandfamilycare,,
,,,,,,,,,,,,Pregnancy and,261165260685238/,centre.com/community-education.php,,
,,,,,,,,,,,,Family Care Centre,,Belleville still offering 4U,,
,,,215.0,Pre gnancy & Wellness,Y,119044287.0,Poverty,CPC,PCC / Heartbeat,Moncton,NB,Pregnancy Resource,www.monctonwellness.ca/,,,
,,,,Centre of Moncton Inc.,,,,,Int’l / Care Net /,,,Centre of Moncton,www.facebook.com/Pregnancy-Wellness-,,,
,,,,,,,,,Evangelical,,,/ Moncton Crisis,Centre-of-Moncton-,,,
,,,,,,,,,,,,Pregnancy Centre,198205426863388/,,,
,,,,,,,,,,,,,https://twitter.com/monctonwellness,,,
,,,,,,,,,,,,Inc.,,,,
,,,216.0,Pre gnancy Care & Family,Y,862146230.0,Poverty,CPC,PCC / Heartbeat,Haliburton,ON,Highlands,www.haliburtonpregnancycentre.ca,“Sexual health and pregnancy,,
,,,,Support Centre,,,,,Int’l / Care Net /,,,Community,www.facebook.com/HaliburtonPregnancyC,education.” Details unspecified,,
,,,,,,,,,Evangelical,,,Pregnancy Care,entre/,https://www.haliburtonpregnancycentre,,
,,,,,,,,,,,,Centre Inc.,,.ca/who-are-we,,
,,,217.0,Pre gnancy Care Canada,Y,880400221.0,Religion,Advocacy,Heartbeat Int’l,Red Deer,AB,Previously Canadian,https://pregnancycarecanada.ca,,,
,,,,,,,,,,,,Association of,,,,
,,,,,,,,,,,,Pregnancy Support,(Was: https://capss.com),,,
,,,,,,,,,,,,Services (CAPSS).,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,,Previous to that:,
,,,,,,,,,,,,,,,Christian Assoc. of,
,,,,,,,,,,,,,,,Pregnancy Support,
,,,,,,,,,,,,,,,Services (umbrella,
,,,,,,,,,,,,,,,group for CPCs),
,,,218.0,Pre gnancy Care Centre,Y,119074623.0,Poverty,CPC,PCC / Care Net /,Barrhead,AB,,,,Outreach for Life www.pregnancycarecentre.ca,
,,,,,,,,,Evangelical,,,,,,Association of www.facebook.com/pccedmonton?fref=ts,
,,,,,,,,,,,,,,,Edmonton / https://twitter.com/PCCyeg,
,,,,,,,,,,,,,,,Edmonton www.instagram.com/pccedmonton/,
,,,,,,,,,,,,,,,Pregnancy Care,
,,,,,,,,,,,,,,,Centre / Pregnancy,
,,,,,,,,,,,,,,,Care Centre /,
,,,,,,,,,,,,,,,Abortion Recovery,
,,,,,,,,,,,,,,,Centre,
,,,219.0,Pre gnancy Care Centre,Y,107786683.0,Poverty,CPC,PCC / Heartbeat,North York,ON,,,,Pregnancy Care www.iamnotalone.ca,
,,,,,,,,,Int’l / Care Net /,,,,,,Centre Toronto www.facebook.com/pregnancycarecentre.,
,,,,,,,,,Evangelical,,,,,,(legal name) org/,
,,,,,,,,,,,,,,,The Pregnancy Care www.instagram.com/pregnancycarecentre,
,,,,,,,,,,,,,,,/ Centre / www.youtube.com/channel/UCXa9uzzzm,
,,,,,,,,,,,,,,,iamnotalone MIgsTS7QftJQDw,
,,,,,,,,,,,,,,,(Hispanic Centre),
,,,220.0,Pre gnancy Care Centre,Y,107786683.0,Poverty,CPC,PCC / Heartbeat,Richmond Hill,ON,,,,Pregnancy Care www.iamnotalone.ca,
,,,,,,,,,Int’l / Care Net /,,,,,,Centre Toronto www.facebook.com/pregnancycarecentre.,
,,,,,,,,,Evangelical,,,,,,(legal name) org/,
,,,,,,,,,,,,,,,The Pregnancy Care www.instagram.com/pregnancycarecentre,
,,,,,,,,,,,,,,,/,
,,,,,,,,,,,,,,,Centre / www.youtube.com/channel/UCXa9uzzzm,
,,,,,,,,,,,,,,,iamnotalone  MIgsTS7QftJQDw,
,,,221.0,Pre gnancy Care Centre,Y,107786683.0,Poverty,CPC,PCC / Heartbeat,Scarborough,ON,,,,Pregnancy Care www.iamnotalone.ca,
,,,,,,,,,Int’l / Care Net /,,,,,,Centre Toronto www.facebook.com/pregnancycarecentre.,
,,,,,,,,,Evangelical,,,,,,(legal name) org/,
,,,,,,,,,,,,,,,The Pregnancy Care www.instagram.com/pregnancycarecentre,
,,,,,,,,,,,,,,,/,
,,,,,,,,,,,,,,,Centre / www.youtube.com/channel/UCXa9uzzzm,
,,,,,,,,,,,,,,,iamnotalone MIgsTS7QftJQDw,
,,,222.0,Pre gnancy Care Centre,Y,107786683.0,Poverty,CPC,PCC / Heartbeat,Toronto,ON,,,,Pregnancy Care www.iamnotalone.ca,
,,,,,,,,,Int’l / Care Net /,(downtown),,,,,Centre Toronto www.facebook.com/pregnancycarecentre.,
,,,,,,,,,Evangelical,,,,,,(legal name) org/,
,,,,,,,,,,,,,,,The Pregnancy Care www.instagram.com/pregnancycarecentre,
,,,,,,,,,,,,,,,/,
,,,,,,,,,,,,,,,Centre / www.youtube.com/channel/UCXa9uzzzm,
,,,,,,,,,,,,,,,iamnotalone)  MIgsTS7QftJQDw,
,,,223.0,Pre gnancy Care Centre,Y,897203857.0,Poverty,CPC,,Sudbury,ON,,,,www.pccifb.ca/,
,,,,and Infant Food Bank,,,,,,,,,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,224.0,Pre gnancy Care Centre,Y,823564984.0,Community,CPC,PCC / Heartbeat,Grande Prairie,AB,,https://pccgp.ca,,,
,,,,Grande Prairie & Area,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/pccgp/,,,
,,,,,,,,,Evangelical,,,,www.instagram.com/pregcaregp/?hl=en,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCZBie1h8EO,,,
,,,,,,,,,,,,,3ALS6lfRJFL4g,,,
,,,225.0,Pre gnancy Centre (The),Y,131909046.0,Poverty,CPC,PCC / Heartbeat,Sault Ste. Marie,ON,Algoma Crisis,http://algomapregnancy.com/,,,
,,,,,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/algomapregnancy/,,,
,,,,,,,,,Evangelical,,,,,,,
,,,226.0,Pre gnancy Concerns,Y,118871078.0,Community,CPC,PCC / Heartbeat,Coquitlam,BC,A “service of the”,www.pregnancyconcerns.org,,,
,,,,,,,"Org., Health",,Int’l / Care Net /,,,Community,,,,
,,,,,,,,,Evangelical,,,Pregnancy,,,,
,,,,,,,,,,,,Concerns Society,,,,
,,,227.0,Pre gnancy Crisis Line,N,,,CPC,,North,SK,(a hotline: 306-446-,,,,
,,,,,,,,,,Battleford,,4440),,,,
,,,228.0,Pre gnancy Help Centre of,Y,896740768.0,Poverty,CPC,,Durham / Ajax,ON,PHC of Durham,www.pregnancyhelp.ca/,Speaker Series,,
,,,,Durham,,,,,,,,Run by Choice 42,www.facebook.com/Pregnancy-Help-,www.pregnancyhelp.ca/community-,,
,,,,,,,,,,,,,Centre-of-Durham-215017985188819/,impact,,
,,,,,,,,,,,,,www.instagram.com/pregnancyhelpcentre,Brochure: http://site-,,
,,,,,,,,,,,,,ofdurham/,,,
,,,,,,,,,,,,,,pwed7z6u.dotezcdn.com/uploads/Speak,,
,,,,,,,,,,,,,,ers%20Series.pdf?v=232811014833,,
,,,,,,,,,,,,,,Claims the promotion for this speaker,,
,,,,,,,,,,,,,,series is approved by Durham District,,
,,,,,,,,,,,,,,School Board. Four-part series including,,
,,,,,,,,,,,,,,teen pregnancy and relationships.,,
,,,,,,,,,,,,,,Doesn’t specify if public/religious.,,
,,,,,,,,,,,,,,Grades 9-12.,,
,,,229.0,Pre gnancy Help Centre of,Y,896740768.0,Poverty,CPC,,Oshawa,ON,,www.pregnancyhelp.ca/,"Speaker Series, Relationship Program (in",,
,,,,Durham,,,,,,,,,www.facebook.com/Pregnancy-Help-,schools),,
,,,,,,,,,,,,,Centre-of-Durham-215017985188819/,www.pregnancyhelp.ca/community-,,
,,,,,,,,,,,,,www.instagram.com/pregnancyhelpcentre,impact,,
,,,,,,,,,,,,,ofdurham/,,,
,,,230.0,Pre gnancy Resource,Y,137152468.0,Poverty,CPC,PCC / Heartbeat,Saint John,NB,Fundy Crisis,www.saintjohnpregnancyresources.com,Looking for abstinence education,,
,,,,Centre of Saint John,,,,,Int’l / Care Net /,,,Pregnancy Center,www.facebook.com/sjpregnancyresource/,facilitators (does not mention schools),,
,,,,(The),,,,,Evangelical,,,Inc,https://twitter.com/prcofsaintjohn,www.saintjohnpregnancyresources.com,,
,,,,,,,,,,,,,,/support-us/volunteer,,
,,,231.0,Pre gnancy Support,Y,892903469.0,Poverty,CPC,PCC / Care Net /,Brandon,MB,Crisis Pregnancy,www.pregnancysupportcentre.ca/,,,
,,,,Centre of Westman Inc.,,,,,Evangelical,,,Centre of Westman,www.cpcbrandon.ca,,,
,,,,,,,,,,,,"(As per CRA,",www.facebook.com/pg/pregnancysupport,,,
,,,,,,,,,,,,possibly Brandon,westman/posts/?ref=page_internal,,,
,,,,,,,,,,,,,www.instagram.com/pregnancysupportwe,,,
,,,,,,,,,,,,Crisis Pregnancy,stman/,,,
,,,,,,,,,,,,Centre),,,,
,,,232.0,Prie sts for LifeCanada /,Y,870173242.0,Religion,Advocacy,Catholic Church,Lindsay,ON,Priests for Life,www.priestsforlifecanada.com/,,,
,,,,Pretres pro vie Canada,,,,,,,,,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,233.0,,,,,Advocacy,,Prince George,BC,,www.facebook.com/PG-Pro-life-Society-,,,Prin ce George Pro Life N
,,,,,,,,,,,,,197435860280821/ (not active since,,,Society
,,,,,,,,,,,,,"Feb 2020, but they still exist)",,,
,,,234.0,,,119063501.0,Poverty,CPC,Catholic Church,Halifax,NS,(Nine branches,www.projectrachel.ca,,,Pro ject Rachel  Y
,,,,,,,,,,,,across Canada),,,,
,,,,,,,,,,,,Tax status is under,,,,
,,,,,,,,,,,,Nova Scotians,,,,
,,,,,,,,,,,,United for Life,,,,
,,,235.0,,,,,Advocacy,,Calgary,AB,(Political party,https://prolifealberta.com/,,,Pro -Life Alberta N
,,,,,,,,,,,,offering tax credits),,,,
,,,236.0,,,119105435.0,Poverty,Advocacy,Alliance for Life,Cornwall,ON,,https://lifecanada.org/cornwall/,,,Pro -life Cornwall Pro-vie Y
,,,,,,,,,Ont.,,,,,,,
,,,,,,,,,LifeCanada,,,,,,,
,,,237.0,,,119105443.0,Poverty,Advocacy,,Black Creek,BC,,No website or social media,,,Pro -life Society of Comox Y
,,,,,,,,,,,,,,,,Valley
,,,238.0,,,,,Advocacy,LifeCanada,Smithers,BC,Pro-Life Smithers,https://lifecanada.org/smithers/,,,Pro -life Society of N
,,,,,,,,,,,,Care Centre,www.facebook.com/SmithersProlife/,,,Smithers
,,,,,,,,,,,,Smithers Pro-Life,,,,
,,,239.0,,,,,Advocacy,,Québec City,QC,,www.proviequebec.ca/,,,Pro -vie Québec / Quebec N
,,,,,,,,,,,,,,,,Pro-Life
,,,240.0,,,,,Advocacy,,(Online),NAT,,www.prowomanprolife.org/,,,Pro-W oman Pro-Life N
,,,241.0,,,,,Advocacy,,Québec City,QC,Vivere,www.vivere.info/,,,Pub lications Vivere N
,,,,,,,,,,,,,,,,Publications Inc.
,,,242.0,,,,,Advocacy,Alliance for Life,Belleville,ON,,https://allianceforlifeontario.ca/quinte-,,,Quinte Right to Life N
,,,,,,,,,Ont.,,,,right-to-life/,,,
,,,243.0,,,,,CPC,Catholic Church /,National,Nat,Primarily an,Main Site: www.rachelsvineyard.org/,,,Rac hel’s Vineyard  N
,,,,,,,,,Diocesan Pastoral,,,American org with,twitter @RVHealing,,,(with retreats in
,,,,,,,,,,,,,Instagram @RVHealing,,,
,,,,,,,,,Council,,,some activity in,,,,"Kelowna, Vancouver,"
,,,,,,,,,,,,"Canada, mainly",www.youtube.com/rachelsvineyard Local chapters:,,,"Kamloops,"
,,,,,,,,,,,,,http://rachelsvineyardkelowna.com/,,,"retreats.  Saskatchewan, Thunder"
,,,,,,,,,,,,,www.facebook.com/rachelsvineyardkelow,,,"Bay, and other cities)"
,,,,,,,,,,,,,na?_rdr=p,,,
,,,,,,,,,,,,,https://beholdvancouver.org/services/crisi,,,
,,,,,,,,,,,,,s-pregnancy/rachels-vineyard,,,
,,,,,,,,,,,,,www.facebook.com/Rachelsvineyardsk,,,
,,,,,,,,,,,,,www.facebook.com/RachelsVineyardThun,,,
,,,,,,,,,,,,,derBay,,,
,,,,,,,,,,,,,www.facebook.com/pages/Rachels-,,,
,,,,,,,,,,,,,Vineyard-Kamloops-,,,
,,,,,,,,,,,,,Diocese/293561197749460,,,
,,,244.0,,,,,Advocacy,,Ottawa,ON,,www.realwomenofcanada.ca/,,,REA L Women of Canada  N
,,,245.0,,,,,Advocacy,LifeCanada,Red Deer,AB,Red Deer Pro-Life,www.facebook.com/RDprolife/,Presentation comparing abortion to the,,Red  Deer & Area Pro-life N
,,,,,,,,,,,,,https://lifecanada.org/reddeer/,holocaust was reported in May 2017.,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,246.0,Ref uge (Pregnancy,Y,107896607.0,Poverty,Advocacy,,Chatham,ON,Run by Right to Life,www.refugechatham.ca,,,
,,,,Resource Centre),,,,,,,,Kent Inc. / Life in,www.lifeinmotionchatham.ca/,,,
,,,,,,,,,,,,Motion,,,,
,,,247.0,Reg ina Pro-life,Y,119252609.0,Poverty,Advocacy,,Regina,SK,,www.reginaprolife.com/,,,
,,,,Association Corporation,,,,,,,,,,,,
,,,248.0,Ren frew County Right to,N,,,Advocacy,LifeCanada,Pembroke,ON,Calabogie &,www.facebook.com/RCRTL/,,,
,,,,Life,,,,,Alliance for Life,,,Renfrew Area Pro-,,,,
,,,,,,,,,Ont.,,,Life,,,,
,,,249.0,Ric hmond Right to Life,Y,816024871.0,Poverty,Advocacy,,Richmond,BC,,www.vcn.bc.ca/rrtl/,,,
,,,,Society,,,,,,,,,,,,
,,,250.0,Rig ht to Life Association,Y,119119881.0,Poverty,Advocacy,,St. John’s,NL,Newfoundland,www.centreforlife.ca/,,,
,,,,,,,,,,,,Right to Life,,,,
,,,,,,,,,,,,Pro-Life NL,,,,
,,,,,,,,,,,,Runs Centre for Life,,,,
,,,251.0,Rig ht to Life Association,Y,888414844.0,Poverty,Advocacy,Alliance for Life,Mississauga,ON,Right to Life,https://righttolifemb.com,,,
,,,,of Mississauga and Area,,,,,Ont.,,,Mississauga,,,,
,,,,,,,,,,,,Brampton,,,,
,,,252.0,Rig ht to Life Association,Y,119119865.0,Poverty,Advocacy,Alliance for Life,Thunder Bay,ON,Right to Life,www.thunderbay.life,"Education tab gone, but now promoting",,
,,,,of Thunder Bay and Area,,,,,Ont.,,,Thunder Bay,,students to start anti-choice clubs in,,
,,,,,,,,,LifeCanada,,,Thunder Bay Right,,schools. Also provide resources to start,,
,,,,,,,,,,,,to Life,,this: www.righttolife.to/get-,,
,,,,,,,,,,,,,,involved/start-a-club/,,
,,,253.0,Rig ht to Life Association,Y,119119873.0,Poverty,Advocacy,Alliance for Life,Toronto,ON,Toronto Right to,https://trtl.ca,Claims to make presentations at Catholic,,
,,,,of Toronto and Area,,,,,Ont.,,,Life,,and public schools,,
,,,,,,,,,,,,Toronto & Area,,https://trtl.ca/presentations,,
,,,,,,,,,,,,Right to Life,,,,
,,,254.0,Rig ht to Life Kent Inc.,Y,107896607.0,Poverty,Advocacy,LifeCanada,Chatham,ON,Runs Life in Motion,www.lifeinmotionchatham.ca/,,,
,,,,,,,,,Alliance for Life,,,and the Refuge CPC,Refuge Chatham:,,,
,,,,,,,,,Ont.,,,,www.facebook.com/refugechathamfu,,,
,,,,,,,,,,,,,ge,,,
,,,,,,,,,,,,,Life in Motion:,,,
,,,,,,,,,,,,,www.facebook.com/lifeinmotionchath,,,
,,,,,,,,,,,,,am,,,
,,,255.0,Rig htNow,N,,,Advocacy,,Toronto,ON,It Starts Right Now,www.itstartsrightnow.ca/about,,,
,,,256.0,Roo m2Grow Pregnancy,Y,809303282.0,Community,CPC,,Clinton,ON,,www.room2grow.info/,,,
,,,,Centre,,,"Org., Health",,,,,,,,,
,,,257.0,Ros sland-Trail Right to,Y,119124105.0,Education,Advocacy,LifeCanada,Rossland,BC,,No website or social media,,,
,,,,Life Society,,,,,Subordinate to the,,,,,,,
,,,,,,,,,Signal Hill,,,,,,,
,,,258.0,San ctuary Outreach,Y,891531048.0,Poverty,CPC,,Guelph,ON,Run by Guelph &,www.sanctuaryoutreach.com/,Newsletter mentions using a terrarium,,
,,,,Pregnancy Support,,,,,,,,Area Right to Life,,workshop to attract U of Guelph,,
,,,,Program,,,,,,,,,,students to the group/program,,
,,,,,,,,,,,,,,https://www.canva.com/design/DAFxoo,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,uwqOk/nMUppmWwNwNstKwx1ADhDA,,
,,,,,,,,,,,,,,/view?utm_content=DAFxoouwqOk&ut,,
,,,,,,,,,,,,,,m_campaign=designshare&utm_mediu,,
,,,,,,,,,,,,,,m=link&utm_source=editor#3,,
,,,259.0,Sas katchewan Pro-life,N,,,Advocacy,LifeCanada,Regina,SK,Charitable arm:,www.saskprolife.com/,Offers speakers:,,
,,,,Association,,,,,,,,Sask Pro-life,,www.saskprolife.com/prolife-speakers-1,,
,,,,,,,,,,,,Association,,One speaker is especially for high,,
,,,,,,,,,,,,Educational Trust,,schools and universities,,
,,,260.0,Sas katchewan Pro-life,Y,885750638.0,Education,Advocacy,,Regina,SK,Run by,www.saskprolife.com/,Offers speakers:,,
,,,,Association Educational,,,,,,,,Saskatchewan Pro-,,www.saskprolife.com/prolife-speakers-1,,
,,,,Trust,,,,,,,,life Association Inc.,,One speaker is especially for high,,
,,,,,,,,,,,,,,schools and universities,,
,,,261.0,Sas katoon Pregnancy,Y,865304430.0,Religion,CPC,PCC / Heartbeat,Saskatoon,SK,Real Choices for,www.saskatoonpregnancy.com,Use to offer Sexual Health Community,,
,,,,Option Centre,,,,,Int’l / Care Net /,,,Women and,www.facebook.com/saskatoonpregancy.op,"Education, but no longer on their",,
